DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,2,19,409,16,990,55.98200527574879,106.05136881629979,827.9666259079514
20240728,748,19,238,18,725,69.01048857149088,45.432973895280874,610.5565375332283
20240728,706,19,801,18,713,27.022868890617406,93.75505275208187,592.2220783573007
20240728,399,19,160,4,171,12.158325961390192,10.794424005923155,148.04725003268666
20240728,937,19,879,2,780,100.9677911461,90.02541685719763,589.0067919967023
20240728,34,19,131,14,887,26.59237520182685,71.7246415014503,788.6829832967228
20240728,659,19,539,4,306,16.197777110978006,17.24791875554122,272.55430413348074
20240728,431,19,667,10,327,46.658094219569044,30.92116742719881,249.42073835323214
20240728,959,19,441,4,691,41.88237131237204,67.40719007136022,581.7104386162678
20240728,89,19,827,20,939,73.40985723327938,86.04127314354338,779.5488696231772
20240728,813,19,971,14,439,60.5951055905919,33.06010703735384,345.34478737205427
20240728,955,19,778,4,226,14.432154023679125,22.374722951504758,189.19312302481612
20240728,273,19,145,3,966,72.26400098498708,98.46194398174823,795.2740550332646
20240728,208,19,639,18,112,12.129287967375744,6.170302677726941,93.70040935489732
20240728,879,19,775,14,511,64.0206144733014,72.49967520339122,374.47971032330736
20240728,72,19,10,9,821,45.29528711963729,74.07838034858013,701.6263325317826
20240728,732,19,103,9,701,90.84554708878747,63.65285903735568,546.5015938738568
20240728,316,19,272,7,857,17.398220772620675,78.45494860624646,761.1468306211328
20240728,655,19,947,4,944,21.961675271184497,49.290988060646214,872.7473366681693
20240728,753,19,970,5,353,26.877436340514777,25.875412075877787,300.24715158360743
20240728,41,19,244,16,543,50.666956222444426,34.094151892282476,458.2388918852731
20240728,891,19,45,10,776,30.95232214813088,89.05955506405655,655.9881227878126
20240728,431,19,795,5,346,50.95355130898908,51.86132494942193,243.185123741589
20240728,46,19,784,11,415,38.49805369509149,40.403513988776446,336.09843231613206
20240728,432,19,821,3,231,15.935995928945532,31.57176968645546,183.49223438459902
20240728,322,19,939,1,600,44.658485476115416,60.34716851733645,494.99434600654814
20240728,988,19,448,18,375,12.205098543815447,44.539681917809325,318.25521953837523
20240728,684,19,355,1,275,41.060856717514916,37.633854176384666,196.30528910610042
20240728,361,19,117,17,450,19.370854994140462,29.801474868583725,400.82767013727585
20240728,706,19,236,6,149,5.317708222513001,16.141492826723873,127.54079895076313
20240728,435,19,261,16,106,9.687028288903578,6.384625803375605,89.92834590772082
20240728,114,19,581,2,807,26.75683523437341,69.79068998156744,710.4524747840592
20240728,671,19,406,10,659,31.55124505407163,40.307083511232534,587.1416714346958
20240728,522,19,561,15,355,32.56835837151678,48.04737566132479,274.3842659671584
20240728,656,19,596,18,730,99.45284437201047,52.618869265105715,577.9282863628838
20240728,504,19,739,7,624,78.3700055004148,81.87620039303387,463.7537941065513
20240728,803,19,907,16,923,102.32545093041665,120.65710975429106,700.0174393152922
20240728,857,19,797,3,132,5.513790705463414,11.944021817635566,114.54218747690102
20240728,11,19,554,19,210,19.271032009566056,22.751859602165027,167.9771083882689
20240728,559,19,611,11,818,37.537278457220665,63.410153988265925,717.0525675545134
20240728,827,19,175,19,122,16.124070125118998,16.3381501366529,89.5377797382281
20240728,4,19,334,20,141,16.556505566025162,19.762595471294116,104.68089896268071
20240728,182,19,32,20,888,69.24719717316157,83.40883757472461,735.3439652521138
20240728,919,19,94,19,567,33.11589027149865,66.8830221664136,467.0010875620877
20240728,51,19,292,12,846,89.08421192067415,93.31635424786792,663.5994338314579
